Year,Location,Gender,Age Group,Population
2009,Chichester,Total,All Ages,112474.0
2009,Chichester,Total,All Ages,100.0
2009,Chichester,Total,Aged 0 to 15,18608.0
2009,Chichester,Total,Aged 0 to 15,16.5
2009,Chichester,Total,Aged 16+,93866.0
2009,Chichester,Total,Aged 16+,83.5
2009,Chichester,Total,Aged 16 to 64,67015.0
2009,Chichester,Total,Aged 16 to 64,59.6
2009,Chichester,Total,Aged 16 to 24,11268.0
2009,Chichester,Total,Aged 16 to 24,10.0
2009,Chichester,Total,Aged 16 to 17,2553.0
2009,Chichester,Total,Aged 16 to 17,2.3
2009,Chichester,Total,Aged 18 to 24,8715.0
2009,Chichester,Total,Aged 18 to 24,7.7
2009,Chichester,Total,Aged 18 to 21,5497.0
2009,Chichester,Total,Aged 18 to 21,4.9
2009,Chichester,Total,Aged 25 to 49,32455.0
2009,Chichester,Total,Aged 25 to 49,28.9
2009,Chichester,Total,Aged 50 to 64,23292.0
2009,Chichester,Total,Aged 50 to 64,20.7
2009,Chichester,Total,Aged 65+,26851.0
2009,Chichester,Total,Aged 65+,23.9
2009,Chichester,Total,All Ages,112474.0
2009,Chichester,Total,All Ages,100.0
2009,Chichester,Total,Age 0 - 4,5572.0
2009,Chichester,Total,Age 0 - 4,5.0
2009,Chichester,Total,Age 0,1140.0
2009,Chichester,Total,Age 0,1.0
2009,Chichester,Total,Age 1,1123.0
2009,Chichester,Total,Age 1,1.0
2009,Chichester,Total,Age 2,1113.0
2009,Chichester,Total,Age 2,1.0
2009,Chichester,Total,Age 3,1121.0
2009,Chichester,Total,Age 3,1.0
2009,Chichester,Total,Age 4,1075.0
2009,Chichester,Total,Age 4,1.0
2009,Chichester,Total,Aged 5-9,5552.0
2009,Chichester,Total,Aged 5-9,4.9
2009,Chichester,Total,Age 5,1102.0
2009,Chichester,Total,Age 5,1.0
2009,Chichester,Total,Age 6,1091.0
2009,Chichester,Total,Age 6,1.0
2009,Chichester,Total,Age 7,1082.0
2009,Chichester,Total,Age 7,1.0
2009,Chichester,Total,Age 8,1118.0
2009,Chichester,Total,Age 8,1.0
2009,Chichester,Total,Age 9,1159.0
2009,Chichester,Total,Age 9,1.0
2009,Chichester,Total,Aged 10-14,6270.0
2009,Chichester,Total,Aged 10-14,5.6
2009,Chichester,Total,Age 10,1220.0
2009,Chichester,Total,Age 10,1.1
2009,Chichester,Total,Age 11,1322.0
2009,Chichester,Total,Age 11,1.2
2009,Chichester,Total,Age 12,1272.0
2009,Chichester,Total,Age 12,1.1
2009,Chichester,Total,Age 13,1319.0
2009,Chichester,Total,Age 13,1.2
2009,Chichester,Total,Age 14,1137.0
2009,Chichester,Total,Age 14,1.0
2009,Chichester,Total,Aged 15-19,6730.0
2009,Chichester,Total,Aged 15-19,6.0
2009,Chichester,Total,Age 15,1214.0
2009,Chichester,Total,Age 15,1.1
2009,Chichester,Total,Age 16,1232.0
2009,Chichester,Total,Age 16,1.1
2009,Chichester,Total,Age 17,1321.0
2009,Chichester,Total,Age 17,1.2
2009,Chichester,Total,Age 18,1491.0
2009,Chichester,Total,Age 18,1.3
2009,Chichester,Total,Age 19,1472.0
2009,Chichester,Total,Age 19,1.3
2009,Chichester,Total,Aged 20-24,5752.0
2009,Chichester,Total,Aged 20-24,5.1
2009,Chichester,Total,Age 20,1312.0
2009,Chichester,Total,Age 20,1.2
2009,Chichester,Total,Age 21,1222.0
2009,Chichester,Total,Age 21,1.1
2009,Chichester,Total,Age 22,1071.0
2009,Chichester,Total,Age 22,1.0
2009,Chichester,Total,Age 23,1024.0
2009,Chichester,Total,Age 23,0.9
2009,Chichester,Total,Age 24,1123.0
