Year,Location,Gender,Age Group,Measure Type,Population
2011,Chichester,Total,All Ages,Value,113995.0
2011,Chichester,Total,Aged 0 to 15,Value,18630.0
2011,Chichester,Total,Aged 16+,Value,95365.0
2011,Chichester,Total,Aged 16 to 64,Value,67308.0
2011,Chichester,Total,Aged 16 to 24,Value,11522.0
2011,Chichester,Total,Aged 16 to 17,Value,2385.0
2011,Chichester,Total,Aged 18 to 24,Value,9137.0
2011,Chichester,Total,Aged 18 to 21,Value,5704.0
2011,Chichester,Total,Aged 25 to 49,Value,32284.0
2011,Chichester,Total,Aged 50 to 64,Value,23502.0
2011,Chichester,Total,Aged 65+,Value,28057.0
2011,Chichester,Total,All Ages,Value,113995.0
2011,Chichester,Total,Age 0 - 4,Value,5640.0
2011,Chichester,Total,Age 0,Value,1117.0
2011,Chichester,Total,Age 1,Value,1057.0
2011,Chichester,Total,Age 2,Value,1165.0
2011,Chichester,Total,Age 3,Value,1162.0
2011,Chichester,Total,Age 4,Value,1139.0
2011,Chichester,Total,Aged 5-9,Value,5660.0
2011,Chichester,Total,Age 5,Value,1148.0
2011,Chichester,Total,Age 6,Value,1113.0
2011,Chichester,Total,Age 7,Value,1143.0
2011,Chichester,Total,Age 8,Value,1144.0
2011,Chichester,Total,Age 9,Value,1112.0
2011,Chichester,Total,Aged 10-14,Value,6087.0
2011,Chichester,Total,Age 10,Value,1141.0
2011,Chichester,Total,Age 11,Value,1177.0
2011,Chichester,Total,Age 12,Value,1241.0
2011,Chichester,Total,Age 13,Value,1318.0
2011,Chichester,Total,Age 14,Value,1210.0
2011,Chichester,Total,Aged 15-19,Value,6450.0
2011,Chichester,Total,Age 15,Value,1243.0
2011,Chichester,Total,Age 16,Value,1150.0
2011,Chichester,Total,Age 17,Value,1235.0
2011,Chichester,Total,Age 18,Value,1345.0
2011,Chichester,Total,Age 19,Value,1477.0
2011,Chichester,Total,Aged 20-24,Value,6315.0
2011,Chichester,Total,Age 20,Value,1489.0
2011,Chichester,Total,Age 21,Value,1393.0
2011,Chichester,Total,Age 22,Value,1212.0
2011,Chichester,Total,Age 23,Value,1179.0
2011,Chichester,Total,Age 24,Value,1042.0
2011,Chichester,Total,Aged 25-29,Value,5184.0
2011,Chichester,Total,Age 25,Value,1002.0
2011,Chichester,Total,Age 26,Value,1076.0
2011,Chichester,Total,Age 27,Value,1039.0
2011,Chichester,Total,Age 28,Value,1009.0
2011,Chichester,Total,Age 29,Value,1058.0
2011,Chichester,Total,Aged 30-34,Value,5214.0
2011,Chichester,Total,Age 30,Value,1077.0
2011,Chichester,Total,Age 31,Value,1129.0
2011,Chichester,Total,Age 32,Value,980.0
2011,Chichester,Total,Age 33,Value,986.0
2011,Chichester,Total,Age 34,Value,1042.0
2011,Chichester,Total,Aged 35-39,Value,6079.0
2011,Chichester,Total,Age 35,Value,1074.0
2011,Chichester,Total,Age 36,Value,1058.0
2011,Chichester,Total,Age 37,Value,1275.0
2011,Chichester,Total,Age 38,Value,1275.0
2011,Chichester,Total,Age 39,Value,1397.0
2011,Chichester,Total,Aged 40-44,Value,7447.0
2011,Chichester,Total,Age 40,Value,1419.0
2011,Chichester,Total,Age 41,Value,1330.0
2011,Chichester,Total,Age 42,Value,1548.0
2011,Chichester,Total,Age 43,Value,1534.0
2011,Chichester,Total,Age 44,Value,1616.0
2011,Chichester,Total,Aged 45-49,Value,8360.0
2011,Chichester,Total,Age 45,Value,1684.0
2011,Chichester,Total,Age 46,Value,1601.0
2011,Chichester,Total,Age 47,Value,1703.0
2011,Chichester,Total,Age 48,Value,1684.0
