Year,Location,Gender,Age Group,Measure Type,Value
2011,Chichester,Total,All Ages,Percent,100.0
2011,Chichester,Total,Aged 0 to 15,Percent,16.3
2011,Chichester,Total,Aged 16+,Percent,83.7
2011,Chichester,Total,Aged 16 to 64,Percent,59.0
2011,Chichester,Total,Aged 16 to 24,Percent,10.1
2011,Chichester,Total,Aged 16 to 17,Percent,2.1
2011,Chichester,Total,Aged 18 to 24,Percent,8.0
2011,Chichester,Total,Aged 18 to 21,Percent,5.0
2011,Chichester,Total,Aged 25 to 49,Percent,28.3
2011,Chichester,Total,Aged 50 to 64,Percent,20.6
2011,Chichester,Total,Aged 65+,Percent,24.6
2011,Chichester,Total,All Ages,Percent,100.0
2011,Chichester,Total,Age 0 - 4,Percent,4.9
2011,Chichester,Total,Age 0,Percent,1.0
2011,Chichester,Total,Age 1,Percent,0.9
2011,Chichester,Total,Age 2,Percent,1.0
2011,Chichester,Total,Age 3,Percent,1.0
2011,Chichester,Total,Age 4,Percent,1.0
2011,Chichester,Total,Aged 5-9,Percent,5.0
2011,Chichester,Total,Age 5,Percent,1.0
2011,Chichester,Total,Age 6,Percent,1.0
2011,Chichester,Total,Age 7,Percent,1.0
2011,Chichester,Total,Age 8,Percent,1.0
2011,Chichester,Total,Age 9,Percent,1.0
2011,Chichester,Total,Aged 10-14,Percent,5.3
2011,Chichester,Total,Age 10,Percent,1.0
2011,Chichester,Total,Age 11,Percent,1.0
2011,Chichester,Total,Age 12,Percent,1.1
2011,Chichester,Total,Age 13,Percent,1.2
2011,Chichester,Total,Age 14,Percent,1.1
2011,Chichester,Total,Aged 15-19,Percent,5.7
2011,Chichester,Total,Age 15,Percent,1.1
2011,Chichester,Total,Age 16,Percent,1.0
2011,Chichester,Total,Age 17,Percent,1.1
2011,Chichester,Total,Age 18,Percent,1.2
2011,Chichester,Total,Age 19,Percent,1.3
2011,Chichester,Total,Aged 20-24,Percent,5.5
2011,Chichester,Total,Age 20,Percent,1.3
2011,Chichester,Total,Age 21,Percent,1.2
2011,Chichester,Total,Age 22,Percent,1.1
2011,Chichester,Total,Age 23,Percent,1.0
2011,Chichester,Total,Age 24,Percent,0.9
2011,Chichester,Total,Aged 25-29,Percent,4.5
2011,Chichester,Total,Age 25,Percent,0.9
2011,Chichester,Total,Age 26,Percent,0.9
2011,Chichester,Total,Age 27,Percent,0.9
2011,Chichester,Total,Age 28,Percent,0.9
2011,Chichester,Total,Age 29,Percent,0.9
2011,Chichester,Total,Aged 30-34,Percent,4.6
2011,Chichester,Total,Age 30,Percent,0.9
2011,Chichester,Total,Age 31,Percent,1.0
2011,Chichester,Total,Age 32,Percent,0.9
2011,Chichester,Total,Age 33,Percent,0.9
2011,Chichester,Total,Age 34,Percent,0.9
2011,Chichester,Total,Aged 35-39,Percent,5.3
2011,Chichester,Total,Age 35,Percent,0.9
2011,Chichester,Total,Age 36,Percent,0.9
2011,Chichester,Total,Age 37,Percent,1.1
2011,Chichester,Total,Age 38,Percent,1.1
2011,Chichester,Total,Age 39,Percent,1.2
2011,Chichester,Total,Aged 40-44,Percent,6.5
2011,Chichester,Total,Age 40,Percent,1.2
2011,Chichester,Total,Age 41,Percent,1.2
2011,Chichester,Total,Age 42,Percent,1.4
2011,Chichester,Total,Age 43,Percent,1.3
2011,Chichester,Total,Age 44,Percent,1.4
2011,Chichester,Total,Aged 45-49,Percent,7.3
2011,Chichester,Total,Age 45,Percent,1.5
2011,Chichester,Total,Age 46,Percent,1.4
2011,Chichester,Total,Age 47,Percent,1.5
2011,Chichester,Total,Age 48,Percent,1.5
2011,Chichester,Total,Age 49,Percent,1.5
2011,Chichester,Total,Aged 50-54,Percent,6.8
2011,Chichester,Total,Age 50,Percent,1.3
2011,Chichester,Total,Age 51,Percent,1.4
2011,Chichester,Total,Age 52,Percent,1.4
2011,Chichester,Total,Age 53,Percent,1.4
2011,Chichester,Total,Age 54,Percent,1.3
2011,Chichester,Total,Aged 55-59,Percent,6.3
2011,Chichester,Total,Age 55,Percent,1.3
2011,Chichester,Total,Age 56,Percent,1.3
2011,Chichester,Total,Age 57,Percent,1.3
2011,Chichester,Total,Age 58,Percent,1.3
2011,Chichester,Total,Age 59,Percent,1.2
2011,Chichester,Total,Aged 60-64,Percent,7.4
2011,Chichester,Total,Age 60,Percent,1.3
2011,Chichester,Total,Age 61,Percent,1.4
2011,Chichester,Total,Age 62,Percent,1.4
2011,Chichester,Total,Age 63,Percent,1.6
2011,Chichester,Total,Age 64,Percent,1.8
2011,Chichester,Total,Aged 65-69,Percent,6.7
2011,Chichester,Total,Age 65,Percent,1.4
2011,Chichester,Total,Age 66,Percent,1.4
2011,Chichester,Total,Age 67,Percent,1.4
2011,Chichester,Total,Age 68,Percent,1.3
2011,Chichester,Total,Age 69,Percent,1.2
2011,Chichester,Total,Aged 70-74,Percent,5.5
2011,Chichester,Total,Age 70,Percent,1.1
2011,Chichester,Total,Age 71,Percent,1.1
2011,Chichester,Total,Age 72,Percent,1.1
2011,Chichester,Total,Age 73,Percent,1.1
2011,Chichester,Total,Age 74,Percent,1.1
2011,Chichester,Total,Aged 75-79,Percent,4.8
2011,Chichester,Total,Age 75,Percent,1.0
2011,Chichester,Total,Age 76,Percent,1.0
2011,Chichester,Total,Age 77,Percent,0.9
2011,Chichester,Total,Age 78,Percent,0.9
2011,Chichester,Total,Age 79,Percent,0.9
2011,Chichester,Total,Aged 80-84,Percent,3.8
2011,Chichester,Total,Age 80,Percent,0.8
2011,Chichester,Total,Age 81,Percent,0.8
2011,Chichester,Total,Age 82,Percent,0.8
2011,Chichester,Total,Age 83,Percent,0.7
2011,Chichester,Total,Age 84,Percent,0.7
2011,Chichester,Total,Aged 85+,Percent,3.8
2011,Chichester,Total,Age 85,Percent,0.6
2011,Chichester,Total,Age 86,Percent,0.5
2011,Chichester,Total,Age 87,Percent,0.5
2011,Chichester,Total,Age 88,Percent,0.5
2011,Chichester,Total,Age 89,Percent,0.4
2011,Chichester,Total,Aged 90+,Percent,1.4
2011,Chichester,Male,All Ages,Percent,100.0
2011,Chichester,Male,Aged 0 to 15,Percent,17.8
2011,Chichester,Male,Aged 16+,Percent,82.2
2011,Chichester,Male,Aged 16 to 64,Percent,59.6
2011,Chichester,Male,Aged 16 to 24,Percent,10.8
2011,Chichester,Male,Aged 16 to 17,Percent,2.3
2011,Chichester,Male,Aged 18 to 24,Percent,8.4
2011,Chichester,Male,Aged 18 to 21,Percent,5.2
2011,Chichester,Male,Aged 25 to 49,Percent,28.4
2011,Chichester,Male,Aged 50 to 64,Percent,20.5
2011,Chichester,Male,Aged 65+,Percent,22.6
2011,Chichester,Male,All Ages,Percent,100.0
2011,Chichester,Male,Age 0 - 4,Percent,5.3
2011,Chichester,Male,Age 0,Percent,1.1
2011,Chichester,Male,Age 1,Percent,1.0
2011,Chichester,Male,Age 2,Percent,1.1
2011,Chichester,Male,Age 3,Percent,1.1
2011,Chichester,Male,Age 4,Percent,1.1
2011,Chichester,Male,Aged 5-9,Percent,5.3
2011,Chichester,Male,Age 5,Percent,1.1
2011,Chichester,Male,Age 6,Percent,1.0
2011,Chichester,Male,Age 7,Percent,1.1
2011,Chichester,Male,Age 8,Percent,1.1
2011,Chichester,Male,Age 9,Percent,1.0
2011,Chichester,Male,Aged 10-14,Percent,5.9
2011,Chichester,Male,Age 10,Percent,1.1
2011,Chichester,Male,Age 11,Percent,1.1
2011,Chichester,Male,Age 12,Percent,1.2
2011,Chichester,Male,Age 13,Percent,1.3
2011,Chichester,Male,Age 14,Percent,1.2
2011,Chichester,Male,Aged 15-19,Percent,6.1
2011,Chichester,Male,Age 15,Percent,1.2
2011,Chichester,Male,Age 16,Percent,1.1
2011,Chichester,Male,Age 17,Percent,1.2
2011,Chichester,Male,Age 18,Percent,1.2
2011,Chichester,Male,Age 19,Percent,1.4
2011,Chichester,Male,Aged 20-24,Percent,5.9
2011,Chichester,Male,Age 20,Percent,1.3
2011,Chichester,Male,Age 21,Percent,1.3
2011,Chichester,Male,Age 22,Percent,1.2
2011,Chichester,Male,Age 23,Percent,1.1
2011,Chichester,Male,Age 24,Percent,0.9
2011,Chichester,Male,Aged 25-29,Percent,4.8
2011,Chichester,Male,Age 25,Percent,0.9
2011,Chichester,Male,Age 26,Percent,1.0
2011,Chichester,Male,Age 27,Percent,0.9
2011,Chichester,Male,Age 28,Percent,1.0
2011,Chichester,Male,Age 29,Percent,0.9
2011,Chichester,Male,Aged 30-34,Percent,4.6
2011,Chichester,Male,Age 30,Percent,0.9
2011,Chichester,Male,Age 31,Percent,1.0
2011,Chichester,Male,Age 32,Percent,0.9
2011,Chichester,Male,Age 33,Percent,0.9
2011,Chichester,Male,Age 34,Percent,0.9
2011,Chichester,Male,Aged 35-39,Percent,5.2
2011,Chichester,Male,Age 35,Percent,0.9
2011,Chichester,Male,Age 36,Percent,0.9
2011,Chichester,Male,Age 37,Percent,1.1
2011,Chichester,Male,Age 38,Percent,1.1
2011,Chichester,Male,Age 39,Percent,1.2
2011,Chichester,Male,Aged 40-44,Percent,6.6
2011,Chichester,Male,Age 40,Percent,1.2
2011,Chichester,Male,Age 41,Percent,1.2
2011,Chichester,Male,Age 42,Percent,1.4
2011,Chichester,Male,Age 43,Percent,1.3
2011,Chichester,Male,Age 44,Percent,1.4
2011,Chichester,Male,Aged 45-49,Percent,7.2
2011,Chichester,Male,Age 45,Percent,1.5
2011,Chichester,Male,Age 46,Percent,1.4
2011,Chichester,Male,Age 47,Percent,1.5
2011,Chichester,Male,Age 48,Percent,1.5
2011,Chichester,Male,Age 49,Percent,1.4
2011,Chichester,Male,Aged 50-54,Percent,6.7
2011,Chichester,Male,Age 50,Percent,1.3
2011,Chichester,Male,Age 51,Percent,1.3
2011,Chichester,Male,Age 52,Percent,1.4
2011,Chichester,Male,Age 53,Percent,1.4
2011,Chichester,Male,Age 54,Percent,1.3
2011,Chichester,Male,Aged 55-59,Percent,6.5
2011,Chichester,Male,Age 55,Percent,1.3
2011,Chichester,Male,Age 56,Percent,1.3
2011,Chichester,Male,Age 57,Percent,1.3
2011,Chichester,Male,Age 58,Percent,1.3
2011,Chichester,Male,Age 59,Percent,1.2
2011,Chichester,Male,Aged 60-64,Percent,7.2
2011,Chichester,Male,Age 60,Percent,1.3
2011,Chichester,Male,Age 61,Percent,1.3
2011,Chichester,Male,Age 62,Percent,1.4
2011,Chichester,Male,Age 63,Percent,1.5
2011,Chichester,Male,Age 64,Percent,1.7
